Body,Head,Head Coverage,Standard Confidence,Pca Confidence,Support,Body Size,Pca Body Size,Functional Variable
?a  hasStage  IVA   ,?a  hasAgeCategory  Old,0.103448,0.5,0.5,33,66,66,?a
?a  patientDrug  Atezolizumab   ,?a  hasAgeCategory  Old,0.137931,0.571429,0.571429,44,77,77,?a
?a  treatmentType  Immunotherapy   ,?a  hasAgeCategory  Old,0.448276,0.5,0.5,143,286,286,?a
?a  patientDrug  Pemetrexed   ,?a  hasRelapse_Progression  Progression,0.607143,1,1,187,187,187,?a
?a  patientDrug  Cisplatin   ,?a  hasRelapse_Progression  Progression,0.392857,1,1,121,121,121,?a
?a  patientDrug  Nivolumab   ,?a  hasAgeCategory  Old,0.172414,0.625,0.625,55,88,88,?a
?a  patientDrug  Pembrolizumab   ,?a  hasRelapse_Progression  Progression,0.464286,1,1,143,143,143,?a
?a  patientDrug  Nivolumab   ,?a  hasRelapse_Progression  Progression,0.285714,1,1,88,88,88,?a
?a  patientDrug  Docetaxel   ,?a  hasRelapse_Progression  Progression,0.285714,1,1,88,88,88,?a
?a  hasGender  Male   ,?a  hasAgeCategory  Old,0.275862,0.615385,0.615385,88,143,143,?a
?a  treatmentType  Radiotherapy_To_Lung   ,?a  hasAgeCategory  Old,0.172414,0.555556,0.555556,55,99,99,?a
?a  patientDrug  Atezolizumab   ,?a  hasRelapse_Progression  Progression,0.25,1,1,77,77,77,?a
?a  hasRelapse_Progression  Relapse   ,?a  hasRelapse_Progression  Progression,0.035714,1,1,11,11,11,?a
?a  hasStage  IVB   ,?a  hasRelapse_Progression  Progression,0.285714,0.888889,1,88,99,88,?a
?a  hasStage  IVA   ,?a  hasRelapse_Progression  Progression,0.178571,0.833333,1,55,66,55,?a
?a  hasBiomarker  ALK_Negative   ,?a  hasAgeCategory  Old,0.344828,0.5,0.5,110,220,220,?a
?a  patientDrug  Pemetrexed   ,?a  hasAgeCategory  Old,0.275862,0.470588,0.470588,88,187,187,?a
?a  patientDrug  Vinorelbine   ,?a  hasAgeCategory  Old,0.172414,0.625,0.625,55,88,88,?a
?a  hasSmokingHabit  CurrentSmoker   ,?a  hasAgeCategory  Old,0.241379,0.466667,0.466667,77,165,165,?a
?a  hasSmokingHabit  FormerSmoker   ,?a  hasRelapse_Progression  Progression,0.357143,0.909091,1,110,121,110,?a
?a  hasAgeCategory  Young   ,?a  hasRelapse_Progression  Progression,0.5,0.875,1,154,176,154,?a
?a  hasGender  Female   ,?a  hasAgeCategory  Old,0.172414,0.3125,0.3125,55,176,176,?a
?a  hasStage  IV   ,?a  hasRelapse_Progression  Progression,0.285714,1,1,88,88,88,?a
?a  treatmentType  Whole_Brain_Radiation_Therapy   ,?a  hasRelapse_Progression  Progression,0.285714,0.888889,1,88,99,88,?a
?a  treatmentType  Radiotherapy_To_Bone   ,?a  hasAgeCategory  Old,0.172414,0.416667,0.416667,55,132,132,?a
?a  treatmentType  Molecular_Targeted_Therapy   ,?a  hasRelapse_Progression  Progression,0.214286,0.75,1,66,88,66,?a
?a  treatmentType  Radiotherapy_To_Bone   ,?a  hasRelapse_Progression  Progression,0.357143,0.833333,1,110,132,110,?a
?a  hasBiomarker  EGFR_Negative   ,?a  hasRelapse_Progression  Progression,0.392857,0.916667,0.916667,121,132,132,?a
?a  patientDrug  Vinorelbine   ,?a  hasRelapse_Progression  Progression,0.214286,0.75,0.75,66,88,88,?a
?a  hasBiomarker  ROS1_Negative   ,?a  hasRelapse_Progression  Progression,0.464286,0.764706,0.866667,143,187,165,?a
?a  patientDrug  Pembrolizumab   ,?a  hasAgeCategory  Old,0.172414,0.384615,0.384615,55,143,143,?a
?a  hasRelapse_Progression  Progression   ,?a  hasAgeCategory  Old,0.37931,0.44,0.44,121,275,275,?a
?a  hasStage  IV   ,?a  hasAgeCategory  Old,0.172414,0.625,0.625,55,88,88,?a
?a  patientDrug  Carboplatin   ,?a  hasAgeCategory  Old,0.344828,0.588235,0.588235,110,187,187,?a
?a  treatmentType  Concurrent_Chemoradiotherapy   ,?a  hasAgeCategory  Old,0.103448,0.6,0.6,33,55,55,?a
?a  hasAgeCategory  Old   ,?a  hasRelapse_Progression  Progression,0.392857,0.846154,0.846154,121,143,143,?a
?a  treatmentType  Radiotherapy_To_Lung   ,?a  hasRelapse_Progression  Progression,0.25,0.777778,0.777778,77,99,99,?a
?a  hasBiomarker  ALK_Negative   ,?a  hasRelapse_Progression  Progression,0.571429,0.8,0.888889,176,220,198,?a
?a  hasBiomarker  EGFR_Positive   ,?a  hasRelapse_Progression  Progression,0.464286,0.8125,0.928571,143,176,154,?a
?a  hasGender  Male   ,?a  hasRelapse_Progression  Progression,0.428571,0.923077,0.923077,132,143,143,?a
?a  patientDrug  Carboplatin   ,?a  hasRelapse_Progression  Progression,0.535714,0.882353,0.882353,165,187,187,?a
?a  treatmentType  Intravenous_Chemotherapy   ,?a  hasAgeCategory  Old,0.37931,0.478261,0.478261,121,253,253,?a
?a  type  Patient   ,?a  hasAgeCategory  Old,0.448276,0.448276,0.448276,143,319,319,?a
?a  hasSmokingHabit  CurrentSmoker   ,?a  hasRelapse_Progression  Progression,0.464286,0.866667,0.866667,143,165,165,?a
?a  patientDrug  Paclitaxel   ,?a  hasRelapse_Progression  Progression,0.285714,0.888889,0.888889,88,99,99,?a
?a  hasGender  Female   ,?a  hasRelapse_Progression  Progression,0.464286,0.8125,0.928571,143,176,154,?a
?a  patientDrug  Atezolizumab   ,?a  patientDrug  Cisplatin,0.02381,0.428571,0.428571,33,77,77,?a
?a  patientDrug  Nivolumab   ,?a  patientDrug  Cisplatin,0.031746,0.5,0.5,44,88,88,?a
?a  hasStage  IV   ,?a  patientDrug  Cisplatin,0.031746,0.5,0.5,44,88,88,?a
?a  patientDrug  Pembrolizumab   ,?a  patientDrug  Cisplatin,0.039683,0.384615,0.384615,55,143,143,?a
?a  hasStage  IVB   ,?a  patientDrug  Cisplatin,0.02381,0.333333,0.333333,33,99,99,?a
?a  hasBiomarker  PDL1_Positive   ,?a  hasRelapse_Progression  Progression,0.392857,0.785714,0.916667,121,154,132,?a
?a  treatmentType  Intravenous_Chemotherapy   ,?a  hasRelapse_Progression  Progression,0.75,0.913043,0.913043,231,253,253,?a
?a  treatmentType  Immunotherapy   ,?a  hasRelapse_Progression  Progression,0.857143,0.923077,0.923077,264,286,286,?a
?a  hasRelapse_Progression  Progression   ,?a  patientDrug  Cisplatin,0.087302,0.44,0.44,121,275,275,?a
?a  type  Patient   ,?a  hasRelapse_Progression  Progression,0.892857,0.862069,0.925926,275,319,297,?a
?a  patientDrug  Carboplatin   ,?a  patientDrug  Cisplatin,0.02381,0.176471,0.176471,33,187,187,?a
?a  patientDrug  Paclitaxel   ,?a  patientDrug  Cisplatin,0.031746,0.444444,0.444444,44,99,99,?a
?a  patientDrug  Vinorelbine   ,?a  patientDrug  Cisplatin,0.031746,0.5,0.5,44,88,88,?a
?a  hasGender  Female   ,?a  patientDrug  Cisplatin,0.031746,0.25,0.25,44,176,176,?a
?a  patientDrug  Docetaxel   ,?a  patientDrug  Cisplatin,0.031746,0.5,0.5,44,88,88,?a
?a  hasBiomarker  ALK_Negative   ,?a  patientDrug  Cisplatin,0.055556,0.35,0.35,77,220,220,?a
?a  hasSmokingHabit  FormerSmoker   ,?a  patientDrug  Cisplatin,0.031746,0.363636,0.363636,44,121,121,?a
?a  hasSmokingHabit  CurrentSmoker   ,?a  patientDrug  Cisplatin,0.047619,0.4,0.4,66,165,165,?a
?a  hasBiomarker  PDL1_Positive   ,?a  patientDrug  Cisplatin,0.02381,0.214286,0.214286,33,154,154,?a
?a  patientDrug  Pemetrexed   ,?a  patientDrug  Cisplatin,0.063492,0.470588,0.470588,88,187,187,?a
?a  treatmentType  Whole_Brain_Radiation_Therapy   ,?a  patientDrug  Cisplatin,0.031746,0.444444,0.444444,44,99,99,?a
?a  hasGender  Male   ,?a  patientDrug  Cisplatin,0.055556,0.538462,0.538462,77,143,143,?a
?a  treatmentType  Radiotherapy_To_Bone   ,?a  patientDrug  Cisplatin,0.02381,0.25,0.25,33,132,132,?a
?a  hasAgeCategory  Young   ,?a  patientDrug  Cisplatin,0.055556,0.4375,0.4375,77,176,176,?a
?a  hasBiomarker  EGFR_Positive   ,?a  patientDrug  Cisplatin,0.039683,0.3125,0.3125,55,176,176,?a
?a  hasBiomarker  EGFR_Negative   ,?a  patientDrug  Cisplatin,0.047619,0.5,0.5,66,132,132,?a
?a  patientDrug  Gemcitabine   ,?a  hasSmokingHabit  CurrentSmoker,0.103448,1,1,33,33,33,?a
?a  hasBiomarker  ROS1_Negative   ,?a  patientDrug  Cisplatin,0.039683,0.294118,0.294118,55,187,187,?a
?a  type  Patient   ,?a  patientDrug  Cisplatin,0.087302,0.37931,0.37931,121,319,319,?a
?a  patientDrug  Durvalumab   ,?a  hasSmokingHabit  CurrentSmoker,0.103448,1,1,33,33,33,?a
?a  patientDrug  Cisplatin   ,?a  hasSmokingHabit  CurrentSmoker,0.206897,0.545455,0.545455,66,121,121,?a
?a  patientDrug  Nivolumab   ,?a  hasSmokingHabit  CurrentSmoker,0.103448,0.375,0.375,33,88,88,?a
?a  hasBiomarker  BRAF_Negative   ,?a  hasSmokingHabit  CurrentSmoker,0.103448,0.75,0.75,33,44,44,?a
?a  hasBiomarker  EGFR_Negative   ,?a  hasSmokingHabit  CurrentSmoker,0.310345,0.75,0.75,99,132,132,?a
?a  treatmentType  Intravenous_Chemotherapy   ,?a  patientDrug  Cisplatin,0.079365,0.434783,0.434783,110,253,253,?a
?a  treatmentType  Molecular_Targeted_Therapy   ,?a  patientDrug  Cisplatin,0.02381,0.375,0.375,33,88,88,?a
?a  patientDrug  Atezolizumab   ,?a  hasSmokingHabit  CurrentSmoker,0.103448,0.428571,0.428571,33,77,77,?a
?a  treatmentType  Immunotherapy   ,?a  patientDrug  Cisplatin,0.079365,0.384615,0.384615,110,286,286,?a
?a  hasAgeCategory  Old   ,?a  patientDrug  Cisplatin,0.031746,0.307692,0.307692,44,143,143,?a
?a  hasStage  IV   ,?a  hasSmokingHabit  CurrentSmoker,0.103448,0.375,0.375,33,88,88,?a
?a  patientDrug  Pembrolizumab   ,?a  hasSmokingHabit  CurrentSmoker,0.275862,0.615385,0.615385,88,143,143,?a
?a  hasStage  IVA   ,?a  hasSmokingHabit  CurrentSmoker,0.103448,0.5,0.5,33,66,66,?a
?a  patientDrug  Docetaxel   ,?a  hasSmokingHabit  CurrentSmoker,0.172414,0.625,0.625,55,88,88,?a
?a  patientDrug  Carboplatin   ,?a  hasSmokingHabit  CurrentSmoker,0.37931,0.647059,0.647059,121,187,187,?a
?a  hasBiomarker  ROS1_Negative   ,?a  hasSmokingHabit  CurrentSmoker,0.344828,0.588235,0.588235,110,187,187,?a
?a  hasBiomarker  ALK_Negative   ,?a  hasSmokingHabit  CurrentSmoker,0.448276,0.65,0.65,143,220,220,?a
?a  hasBiomarker  EGFR_Positive   ,?a  hasSmokingHabit  CurrentSmoker,0.206897,0.375,0.375,66,176,176,?a
?a  hasBiomarker  PDL1_Positive   ,?a  hasSmokingHabit  CurrentSmoker,0.344828,0.714286,0.714286,110,154,154,?a
?a  patientDrug  Pemetrexed   ,?a  hasSmokingHabit  CurrentSmoker,0.310345,0.529412,0.529412,99,187,187,?a
?a  hasStage  IVB   ,?a  hasSmokingHabit  CurrentSmoker,0.206897,0.666667,0.666667,66,99,99,?a
?a  patientDrug  Paclitaxel   ,?a  hasSmokingHabit  CurrentSmoker,0.206897,0.666667,0.666667,66,99,99,?a
?a  hasRelapse_Progression  Progression   ,?a  hasSmokingHabit  CurrentSmoker,0.448276,0.52,0.52,143,275,275,?a
?a  hasAgeCategory  Young   ,?a  hasSmokingHabit  CurrentSmoker,0.275862,0.5,0.5,88,176,176,?a
?a  hasGender  Female   ,?a  hasSmokingHabit  CurrentSmoker,0.241379,0.4375,0.4375,77,176,176,?a
?a  patientDrug  Vinorelbine   ,?a  hasSmokingHabit  CurrentSmoker,0.137931,0.5,0.5,44,88,88,?a
?a  treatmentType  Concurrent_Chemoradiotherapy   ,?a  hasSmokingHabit  CurrentSmoker,0.103448,0.6,0.6,33,55,55,?a
?a  treatmentType  Radiotherapy_To_Lung   ,?a  hasSmokingHabit  CurrentSmoker,0.206897,0.666667,0.666667,66,99,99,?a
?a  patientDrug  Cisplatin   ,?a  hasBiomarker  EGFR_Positive,0.056818,0.454545,0.454545,55,121,121,?a
?a  hasBiomarker  PDL1_Positive   ,?a  hasBiomarker  EGFR_Positive,0.056818,0.357143,0.357143,55,154,154,?a
?a  treatmentType  Whole_Brain_Radiation_Therapy   ,?a  hasSmokingHabit  CurrentSmoker,0.137931,0.444444,0.444444,44,99,99,?a
?a  hasAgeCategory  Old   ,?a  hasSmokingHabit  CurrentSmoker,0.241379,0.538462,0.538462,77,143,143,?a
?a  hasGender  Male   ,?a  hasSmokingHabit  CurrentSmoker,0.275862,0.615385,0.615385,88,143,143,?a
?a  treatmentType  Immunotherapy   ,?a  hasSmokingHabit  CurrentSmoker,0.482759,0.538462,0.538462,154,286,286,?a
?a  hasBiomarker  ALK_Negative   ,?a  hasBiomarker  EGFR_Positive,0.113636,0.5,0.5,110,220,220,?a
?a  hasBiomarker  ROS1_Negative   ,?a  hasBiomarker  EGFR_Positive,0.090909,0.470588,0.470588,88,187,187,?a
?a  treatmentType  Radiotherapy_To_Bone   ,?a  hasSmokingHabit  CurrentSmoker,0.206897,0.5,0.5,66,132,132,?a
?a  patientDrug  Nivolumab   ,?a  hasBiomarker  EGFR_Positive,0.068182,0.75,0.75,66,88,88,?a
?a  patientDrug  Carboplatin   ,?a  hasBiomarker  EGFR_Positive,0.113636,0.588235,0.588235,110,187,187,?a
?a  hasStage  IV   ,?a  hasBiomarker  EGFR_Positive,0.068182,0.75,0.75,66,88,88,?a
?a  treatmentType  Intravenous_Chemotherapy   ,?a  hasSmokingHabit  CurrentSmoker,0.517241,0.652174,0.652174,165,253,253,?a
?a  patientDrug  Pemetrexed   ,?a  hasBiomarker  EGFR_Positive,0.113636,0.588235,0.588235,110,187,187,?a
?a  patientDrug  Paclitaxel   ,?a  hasBiomarker  EGFR_Positive,0.045455,0.444444,0.444444,44,99,99,?a
?a  patientDrug  Docetaxel   ,?a  hasBiomarker  EGFR_Positive,0.045455,0.5,0.5,44,88,88,?a
?a  hasStage  IVB   ,?a  hasBiomarker  EGFR_Positive,0.045455,0.444444,0.444444,44,99,99,?a
?a  patientDrug  Vinorelbine   ,?a  hasBiomarker  EGFR_Positive,0.045455,0.5,0.5,44,88,88,?a
?a  hasSmokingHabit  CurrentSmoker   ,?a  hasBiomarker  EGFR_Positive,0.068182,0.4,0.4,66,165,165,?a
?a  treatmentType  Molecular_Targeted_Therapy   ,?a  hasBiomarker  EGFR_Positive,0.068182,0.75,0.75,66,88,88,?a
?a  treatmentType  Radiotherapy_To_Bone   ,?a  hasBiomarker  EGFR_Positive,0.090909,0.666667,0.666667,88,132,132,?a
?a  patientDrug  Atezolizumab   ,?a  hasBiomarker  EGFR_Positive,0.056818,0.714286,0.714286,55,77,77,?a
?a  hasBiomarker  EGFR_Negative   ,?a  hasGender  Female,0.206897,0.5,0.5,66,132,132,?a
?a  hasSmokingHabit  FormerSmoker   ,?a  hasBiomarker  EGFR_Positive,0.090909,0.727273,0.727273,88,121,121,?a
?a  treatmentType  Intravenous_Chemotherapy   ,?a  hasBiomarker  EGFR_Positive,0.136364,0.521739,0.521739,132,253,253,?a
?a  type  Patient   ,?a  hasSmokingHabit  CurrentSmoker,0.517241,0.517241,0.517241,165,319,319,?a
?a  hasBiomarker  PDL1_Positive   ,?a  hasGender  Female,0.344828,0.714286,0.714286,110,154,154,?a
?a  patientDrug  Docetaxel   ,?a  hasGender  Female,0.172414,0.625,0.625,55,88,88,?a
?a  patientDrug  Pemetrexed   ,?a  hasGender  Female,0.37931,0.647059,0.647059,121,187,187,?a
?a  type  Patient   ,?a  hasBiomarker  EGFR_Positive,0.181818,0.551724,0.551724,176,319,319,?a
?a  patientDrug  Carboplatin   ,?a  hasGender  Female,0.344828,0.588235,0.588235,110,187,187,?a
?a  treatmentType  Immunotherapy   ,?a  hasBiomarker  EGFR_Positive,0.147727,0.5,0.5,143,286,286,?a
?a  hasBiomarker  ROS1_Negative   ,?a  hasGender  Female,0.37931,0.647059,0.647059,121,187,187,?a
?a  hasGender  Female   ,?a  hasBiomarker  EGFR_Positive,0.113636,0.625,0.625,110,176,176,?a
?a  hasAgeCategory  Old   ,?a  hasBiomarker  EGFR_Positive,0.079545,0.538462,0.538462,77,143,143,?a
?a  hasRelapse_Progression  Progression   ,?a  hasBiomarker  EGFR_Positive,0.147727,0.52,0.52,143,275,275,?a
?a  hasBiomarker  ALK_Negative   ,?a  hasGender  Female,0.37931,0.55,0.55,121,220,220,?a
?a  hasBiomarker  EGFR_Positive   ,?a  hasGender  Female,0.344828,0.625,0.625,110,176,176,?a
?a  treatmentType  Radiotherapy_To_Lung   ,?a  hasBiomarker  EGFR_Positive,0.068182,0.666667,0.666667,66,99,99,?a
?a  hasAgeCategory  Young   ,?a  hasBiomarker  EGFR_Positive,0.102273,0.5625,0.5625,99,176,176,?a
?a  patientDrug  Vinorelbine   ,?a  hasGender  Female,0.137931,0.5,0.5,44,88,88,?a
?a  hasGender  Male   ,?a  hasBiomarker  EGFR_Positive,0.068182,0.461538,0.461538,66,143,143,?a
?a  patientDrug  Nivolumab   ,?a  hasGender  Female,0.172414,0.625,0.625,55,88,88,?a
?a  hasStage  IVB   ,?a  hasGender  Female,0.206897,0.666667,0.666667,66,99,99,?a
?a  hasSmokingHabit  CurrentSmoker   ,?a  hasGender  Female,0.241379,0.466667,0.466667,77,165,165,?a
?a  hasSmokingHabit  FormerSmoker   ,?a  hasGender  Female,0.275862,0.727273,0.727273,88,121,121,?a
?a  hasAgeCategory  Young   ,?a  hasGender  Female,0.37931,0.6875,0.6875,121,176,176,?a
?a  treatmentType  Molecular_Targeted_Therapy   ,?a  hasGender  Female,0.172414,0.625,0.625,55,88,88,?a
?a  hasStage  IV   ,?a  hasGender  Female,0.172414,0.625,0.625,55,88,88,?a
?a  treatmentType  Radiotherapy_To_Bone   ,?a  hasGender  Female,0.310345,0.75,0.75,99,132,132,?a
?a  hasAgeCategory  Old   ,?a  hasGender  Female,0.172414,0.384615,0.384615,55,143,143,?a
?a  treatmentType  Radiotherapy_To_Lung   ,?a  hasGender  Female,0.172414,0.555556,0.555556,55,99,99,?a
?a  treatmentType  Intravenous_Chemotherapy   ,?a  hasGender  Female,0.413793,0.521739,0.521739,132,253,253,?a
?a  treatmentType  Whole_Brain_Radiation_Therapy   ,?a  hasGender  Female,0.241379,0.777778,0.777778,77,99,99,?a
?a  treatmentType  Immunotherapy   ,?a  hasGender  Female,0.482759,0.538462,0.538462,154,286,286,?a
?a  patientDrug  Nivolumab   ,?a  patientDrug  Carboplatin,0.031746,0.5,0.5,44,88,88,?a
?a  patientDrug  Cisplatin   ,?a  hasGender  Female,0.137931,0.363636,0.363636,44,121,121,?a
?a  hasBiomarker  EGFR_Negative   ,?a  patientDrug  Carboplatin,0.055556,0.583333,0.583333,77,132,132,?a
?a  hasRelapse_Progression  Progression   ,?a  hasGender  Female,0.448276,0.52,0.52,143,275,275,?a
?a  patientDrug  Atezolizumab   ,?a  hasGender  Female,0.137931,0.571429,0.571429,44,77,77,?a
?a  patientDrug  Pembrolizumab   ,?a  hasGender  Female,0.275862,0.615385,0.615385,88,143,143,?a
?a  patientDrug  Docetaxel   ,?a  patientDrug  Carboplatin,0.039683,0.625,0.625,55,88,88,?a
?a  hasBiomarker  PDL1_Positive   ,?a  patientDrug  Carboplatin,0.063492,0.571429,0.571429,88,154,154,?a
?a  hasStage  IV   ,?a  patientDrug  Carboplatin,0.031746,0.5,0.5,44,88,88,?a
?a  patientDrug  Atezolizumab   ,?a  patientDrug  Carboplatin,0.039683,0.714286,0.714286,55,77,77,?a
?a  patientDrug  Pemetrexed   ,?a  patientDrug  Carboplatin,0.087302,0.647059,0.647059,121,187,187,?a
?a  hasBiomarker  EGFR_Positive   ,?a  patientDrug  Carboplatin,0.079365,0.625,0.625,110,176,176,?a
?a  patientDrug  Pembrolizumab   ,?a  patientDrug  Carboplatin,0.063492,0.615385,0.615385,88,143,143,?a
?a  hasBiomarker  ALK_Negative   ,?a  patientDrug  Carboplatin,0.111111,0.7,0.7,154,220,220,?a
?a  hasBiomarker  ROS1_Negative   ,?a  patientDrug  Carboplatin,0.087302,0.647059,0.647059,121,187,187,?a
